date,total_ratings,overall_avg_total_ratings,30_day_avg_total_ratings,percentile_total_ratings,average_rating,overall_avg_rating,30_day_avg_rating,percentile_average_rating,unique_datasets,narrative_summary
2019-09-20,2,8.76,2.0,0.07,3.0,2.98,3.0,0.51,2,Yesterday was dead quiet and the vibes were decent
2019-09-21,3,8.76,2.5,0.14,4.33,2.98,3.66,0.92,3,Yesterday was very quiet and the vibes were absolutely stellar
2019-09-22,2,8.76,2.33,0.07,2.5,2.98,3.28,0.31,2,Yesterday was dead quiet and the vibes were a bit off
2019-09-23,9,8.76,4.0,0.64,2.67,2.98,3.12,0.36,9,Yesterday was busy and the vibes were a bit off
2019-09-24,11,8.76,5.4,0.75,2.18,2.98,2.94,0.2,11,Yesterday was buzzing and the vibes were below average
2019-09-25,14,8.76,6.83,0.86,3.43,2.98,3.02,0.68,11,Yesterday was very lively and the vibes were solid
2019-09-26,19,8.76,8.57,0.95,2.47,2.98,2.94,0.3,15,Yesterday was off the charts and the vibes were a bit off
2019-09-27,4,8.76,8.0,0.22,2.0,2.98,2.82,0.15,3,Yesterday was pretty quiet and the vibes were not great
2019-09-28,6,8.76,7.78,0.4,1.67,2.98,2.69,0.09,4,Yesterday was somewhat active and the vibes were rock bottom
2019-09-29,4,8.76,7.4,0.22,3.75,2.98,2.8,0.8,3,Yesterday was pretty quiet and the vibes were top notch
2019-09-30,12,8.76,7.82,0.79,3.17,2.98,2.83,0.58,11,Yesterday was buzzing and the vibes were decent
2019-10-01,9,8.76,7.92,0.64,3.11,2.98,2.86,0.56,7,Yesterday was busy and the vibes were decent
2019-10-02,14,8.76,8.38,0.86,3.29,2.98,2.89,0.62,12,Yesterday was very lively and the vibes were solid
2019-10-03,17,8.76,9.0,0.93,3.18,2.98,2.91,0.59,16,Yesterday was off the charts and the vibes were decent
2019-10-04,10,8.76,9.07,0.7,2.4,2.98,2.88,0.28,9,Yesterday was buzzing and the vibes were below average
2019-10-05,6,8.76,8.88,0.4,3.67,2.98,2.93,0.77,4,Yesterday was somewhat active and the vibes were great
2019-10-06,3,8.76,8.53,0.14,3.67,2.98,2.97,0.77,2,Yesterday was very quiet and the vibes were great
2019-10-07,7,8.76,8.44,0.48,2.29,2.98,2.93,0.23,7,Yesterday was somewhat active and the vibes were below average
2019-10-08,12,8.76,8.63,0.79,2.67,2.98,2.92,0.36,11,Yesterday was buzzing and the vibes were a bit off
2019-10-09,18,8.76,9.1,0.94,2.89,2.98,2.92,0.45,15,Yesterday was off the charts and the vibes were about average
2019-10-10,19,8.76,9.57,0.95,2.89,2.98,2.92,0.45,14,Yesterday was off the charts and the vibes were about average
2019-10-11,10,8.76,9.59,0.7,3.1,2.98,2.92,0.56,9,Yesterday was buzzing and the vibes were decent
2019-10-12,5,8.76,9.39,0.31,2.6,2.98,2.91,0.34,5,Yesterday was low-key and the vibes were a bit off
2019-10-13,4,8.76,9.17,0.22,2.5,2.98,2.89,0.31,4,Yesterday was pretty quiet and the vibes were a bit off
2019-10-14,7,8.76,9.08,0.48,3.57,2.98,2.92,0.73,6,Yesterday was somewhat active and the vibes were great
2019-10-15,10,8.76,9.12,0.7,2.6,2.98,2.91,0.34,8,Yesterday was buzzing and the vibes were a bit off
2019-10-16,10,8.76,9.15,0.7,1.8,2.98,2.87,0.11,10,Yesterday was buzzing and the vibes were not great
2019-10-17,11,8.76,9.21,0.75,2.73,2.98,2.86,0.39,9,Yesterday was buzzing and the vibes were a bit off
2019-10-18,17,8.76,9.48,0.93,2.35,2.98,2.84,0.27,12,Yesterday was off the charts and the vibes were below average
2019-10-19,3,8.76,9.27,0.14,3.33,2.98,2.86,0.64,3,Yesterday was very quiet and the vibes were solid
2019-10-20,6,8.76,9.4,0.4,1.5,2.98,2.81,0.07,5,Yesterday was somewhat active and the vibes were rock bottom
2019-10-21,24,8.76,10.1,0.98,2.08,2.98,2.74,0.18,12,Yesterday was off the charts and the vibes were not great
2019-10-22,12,8.76,10.43,0.79,2.42,2.98,2.73,0.29,11,Yesterday was buzzing and the vibes were below average
2019-10-23,13,8.76,10.57,0.83,2.54,2.98,2.73,0.32,11,Yesterday was very lively and the vibes were a bit off
2019-10-24,24,8.76,11.0,0.98,2.54,2.98,2.74,0.32,11,Yesterday was off the charts and the vibes were a bit off
2019-10-25,13,8.76,10.97,0.83,3.62,2.98,2.75,0.74,13,Yesterday was very lively and the vibes were great
2019-10-26,4,8.76,10.47,0.22,4.0,2.98,2.8,0.86,4,Yesterday was pretty quiet and the vibes were top notch
2019-10-27,7,8.76,10.57,0.48,2.14,2.98,2.8,0.19,5,Yesterday was somewhat active and the vibes were not great
2019-10-28,13,8.76,10.8,0.83,3.46,2.98,2.86,0.69,11,Yesterday was very lively and the vibes were solid
2019-10-29,13,8.76,11.1,0.83,3.0,2.98,2.84,0.51,11,Yesterday was very lively and the vibes were decent
2019-10-30,16,8.76,11.23,0.91,2.62,2.98,2.82,0.35,13,Yesterday was off the charts and the vibes were a bit off
2019-10-31,8,8.76,11.2,0.56,2.88,2.98,2.81,0.44,7,Yesterday was getting there and the vibes were about average
2019-11-01,14,8.76,11.2,0.86,2.79,2.98,2.79,0.41,13,Yesterday was very lively and the vibes were about average
2019-11-02,3,8.76,10.73,0.14,1.0,2.98,2.72,0.02,3,Yesterday was very quiet and the vibes were rock bottom
2019-11-03,11,8.76,10.77,0.75,3.27,2.98,2.75,0.61,10,Yesterday was buzzing and the vibes were solid
2019-11-04,13,8.76,11.0,0.83,3.0,2.98,2.73,0.51,12,Yesterday was very lively and the vibes were decent
2019-11-05,17,8.76,11.47,0.93,4.06,2.98,2.74,0.88,9,Yesterday was off the charts and the vibes were top notch
2019-11-06,11,8.76,11.6,0.75,3.82,2.98,2.79,0.82,9,Yesterday was buzzing and the vibes were top notch
2019-11-07,8,8.76,11.47,0.56,2.5,2.98,2.79,0.31,7,Yesterday was getting there and the vibes were a bit off
2019-11-08,11,8.76,11.23,0.75,3.82,2.98,2.82,0.82,10,Yesterday was buzzing and the vibes were top notch
2019-11-09,5,8.76,10.77,0.31,3.4,2.98,2.83,0.66,5,Yesterday was low-key and the vibes were solid
